TaskID,TotalLength,TaskOutputFileSize,TaskFileLength,CpuTime,,UserLatitude,UserLongitude,DataCenterID,VmID,ENSEMBLE_predicted_DC,GA_predicted_DC,SNAKE_predicted_DC,SNAKE_predicted_VM,ENSEMBLE_predicted_VM
93,67,18,18,2.650319285,,80.41852595,52.8761655,5,11,5,5,5,11,11
94,28,18,16,2.153846154,,48.04653469,-5.503285007,4,5,4,4,4,5,5
95,46,15,18,3.496503497,,87.31313676,-26.35627018,5,5,5,5,5,5,5
96,34,11,12,2.237819549,,-11.99705545,23.94062341,4,6,4,4,4,6,6
97,30,15,22,1.194482759,,89.39378882,20.75592052,5,11,5,5,5,11,11
98,13,18,10,0.52,,9.576628356,-148.6849794,3,11,3,5,3,11,11
99,88,14,25,4.176747431,,-45.95646222,6.259223739,4,9,4,4,4,9,9
100,29,19,21,2.561327561,,-13.69155316,75.53362611,4,4,4,4,4,4,4
101,88,15,18,6.713286713,,-64.53568036,45.67186762,3,5,4,4,3,5,5
102,25,14,23,0.924731183,,10.56109118,123.7051083,4,12,4,4,5,12,12
103,86,14,21,3.439501916,,-33.26422514,136.6568992,3,11,3,3,3,11,11
104,72,10,22,4.209948144,,-12.87910021,178.168362,3,7,3,3,3,7,7
105,89,14,25,6.776223776,,60.05892962,-74.34852408,5,5,5,5,5,5,5
106,99,17,13,3.927560664,,-64.73894073,-109.1584342,3,11,3,3,3,11,11
107,13,10,13,0.866666667,,12.68253431,-28.06033909,4,6,4,5,4,6,6
108,15,10,13,0.965072464,,-73.26865138,-27.24271815,3,6,3,3,3,6,6
109,96,12,12,4.562973931,,-33.25391941,-34.81871508,4,9,4,4,4,9,9
110,78,10,11,5.993006993,,2.37241022,-17.22923096,5,5,5,5,5,5,5
111,10,15,25,0.38,,39.90239177,-111.4429875,5,11,5,5,5,11,11
112,35,20,17,1.265185185,,63.00467362,152.5638808,4,12,4,4,4,12,12
113,31,10,12,2.772337662,,-57.53286157,121.5881404,3,4,3,3,3,4,4
114,52,14,12,2.097228608,,76.7870418,46.98843525,5,11,5,5,5,11,11
115,12,13,23,0.8,,-70.11284014,162.1509492,3,6,3,3,3,6,6
116,27,13,15,1.733784461,,48.63691198,-92.36173584,5,6,5,5,4,6,6
117,34,12,23,1.172413793,,-5.844646212,-124.4216782,5,13,5,5,5,12,13
118,83,18,21,6.356643357,,-31.5762403,-57.26401825,4,5,4,4,4,5,5
119,40,19,17,2.666666667,,-65.62592079,141.445065,3,6,3,3,3,6,6
120,99,17,24,3.951979566,,-76.50570735,133.9162488,3,11,3,3,3,11,11
121,77,14,18,3.639698992,,-81.16387602,158.9178009,3,9,3,3,3,9,9
122,66,14,25,5.013986014,,73.42857248,88.66196441,4,5,4,4,5,5,5
123,25,12,15,1.629254658,,13.69111527,-29.48117225,4,6,4,4,4,6,6
124,17,19,10,1.506493506,,53.74683209,88.28350526,4,4,4,4,5,4,4
125,68,16,11,2.717598978,,-13.14636265,146.7364611,3,11,3,3,3,11,11
126,15,20,17,2.111111111,,86.60897602,-100.578458,5,2,5,5,5,2,2
127,21,12,13,1.398879552,,32.12593358,-58.00103976,5,6,5,5,5,6,6
128,46,20,21,3.538461538,,62.51831926,-11.96966232,5,5,5,4,5,5,5
129,23,12,13,1.481644008,,66.03903241,-137.0165051,5,6,5,5,5,6,6
130,74,15,22,4.301540232,,74.54411486,65.20670399,5,7,5,5,5,7,7
131,30,11,12,2.642024642,,70.22458731,-79.34464285,4,4,4,5,4,4,4
132,53,19,13,2.099310345,,-59.59343441,73.0262029,3,11,4,3,3,11,11
133,21,13,23,1.615384615,,-57.8934734,-62.72568119,3,5,4,3,3,5,5
134,26,12,25,0.93063857,,64.48009404,-87.40858861,5,12,5,5,5,12,12
135,100,13,18,7.692307692,,-88.32563522,-83.29690803,3,5,3,3,3,5,5
136,19,18,12,1.266666667,,36.63939133,85.8606804,4,6,4,5,5,6,6
137,30,12,25,1.982129236,,13.13396154,-25.10976493,4,6,4,4,4,6,6
138,28,11,17,1.09037037,,-38.9613604,160.5002983,3,11,3,3,3,11,11
139,75,19,16,2.579443826,,-36.38057747,-82.98825949,3,13,3,3,3,13,13
140,94,10,23,4.435372254,,76.15174465,126.3654031,4,9,5,4,4,9,9
141,88,16,20,6.769230769,,60.03036183,56.0947341,5,5,5,5,4,5,5
142,24,18,18,0.940689655,,-87.37506042,134.6352662,3,11,3,3,3,11,11
143,24,19,18,0.939259259,,-69.20742804,-59.616408,3,11,3,3,4,11,11
144,73,15,17,3.826131826,,-34.62246034,72.62528096,4,8,4,4,4,8,8
145,56,14,14,1.93063857,,-50.45799742,-63.32947083,4,13,4,3,4,12,13
146,19,18,25,0.76,,-53.13811313,152.1818602,3,11,3,3,3,11,11
147,85,11,15,6.538461538,,39.49691344,-30.08434579,4,5,4,4,4,5,5
148,23,14,10,1.501960784,,-35.44628526,-121.1035131,3,6,3,3,3,6,6
149,26,16,10,1.026206897,,15.77784455,-106.6844302,5,11,5,5,5,11,11
150,67,11,12,2.645517241,,-49.10437305,-48.42311319,4,11,4,4,4,11,11
151,86,13,23,5.040666821,,-77.22833188,119.7690487,3,7,3,3,3,7,7
152,63,16,15,4.846153846,,-81.66073356,133.2283676,3,5,3,3,3,5,5
153,79,17,16,3.138186462,,67.55059907,-58.69235146,5,11,5,5,5,11,11
154,90,15,19,5.260566954,,-29.54364566,173.5123438,3,7,3,3,3,7,7
155,43,10,23,3.307692308,,67.38805108,117.944963,5,5,5,5,5,5,5
156,30,12,18,1.259425287,,-10.83495862,-106.9516711,4,11,4,3,3,11,11
157,46,16,14,3.538461538,,-85.53607639,-119.6712524,3,5,3,3,3,5,5
158,62,13,19,2.261689944,,60.29443376,-116.3194888,5,12,5,5,5,12,11
159,38,15,21,2.923076923,,-84.68189795,54.9887039,4,5,3,4,3,5,5
160,14,11,19,0.933333333,,6.369141306,-108.544864,5,6,5,5,5,6,6
161,11,14,14,0.685714286,,9.691626426,-19.46542137,4,6,4,4,4,6,6
162,67,12,25,3.939821421,,-10.98337848,-161.6653939,3,7,3,3,3,7,7
163,38,12,15,2.923076923,,-75.92551855,-155.1835828,3,5,3,3,3,5,5
164,91,12,11,3.634533844,,59.42199576,-40.36559847,5,11,5,5,5,11,11
165,30,13,18,2.698412698,,-10.27042425,-110.0065146,5,4,5,5,5,4,4
166,72,19,24,4.281152882,,-84.18409963,-108.8464913,3,7,3,3,3,7,7
167,73,10,22,5.615384615,,29.68850936,-179.2302432,5,5,5,5,5,5,5
168,98,20,24,3.388458781,,87.4831737,-52.79636453,4,13,4,5,5,13,13
169,45,12,24,2.966240409,,-34.69403038,-95.88687774,4,6,3,3,3,6,6
170,47,10,21,3.615384615,,68.59152406,-146.2909451,5,5,5,5,5,5,5
171,97,17,11,5.060751623,,-24.19297026,150.5800043,3,8,3,3,3,8,8
172,48,19,23,3.692307692,,56.94773737,-90.26989609,4,5,4,5,4,5,5
173,30,12,10,1.247931034,,19.23957809,176.0389312,5,11,4,5,5,11,11
174,70,16,12,5.384615385,,-74.72557222,31.23043703,4,5,4,4,4,5,5
175,50,11,18,1.961481481,,-57.15153997,130.3862782,3,11,3,3,3,11,11
176,61,15,12,4.052126352,,11.67764832,92.87792235,4,6,4,4,4,6,6
177,66,20,12,5.076923077,,74.97511058,88.75569887,5,5,5,5,5,5,5
178,18,13,17,0.72,,84.35867071,108.053022,5,11,5,5,5,11,11
179,42,17,22,1.652222222,,-42.90259909,120.611938,3,11,3,3,3,11,11
180,50,16,10,2.945523592,,-66.39889851,-126.1048818,3,7,3,3,3,7,7
181,62,12,19,2.131494253,,-25.30473047,-66.72277075,4,13,4,4,4,12,13
182,94,18,13,7.230769231,,-89.2264845,-148.1065268,3,5,3,3,3,5,5
183,82,18,11,4.272900858,,37.19921324,85.74267079,4,8,4,4,4,8,8
184,15,10,16,0.517241379,,14.22349893,-108.7701157,5,13,5,5,5,12,11
185,61,15,24,2.258148148,,-26.59273633,130.751863,3,12,3,3,3,12,12
186,33,13,11,2.915084915,,28.94162835,30.44795174,4,4,4,4,4,4,4
187,86,12,12,5.033372305,,76.92088447,-75.64832943,5,7,5,5,5,7,7
188,93,15,22,7.153846154,,70.6456514,96.29598489,5,5,5,4,5,5,5
189,80,15,12,3.269642401,,-28.15620098,-148.2891467,3,11,3,3,3,11,11
190,13,19,24,0.843333333,,40.38803153,18.00659059,4,6,4,4,4,6,6
191,61,18,11,2.64283208,,-65.40247138,35.46639574,4,10,4,4,4,10,10
192,52,20,23,1.896666667,,50.37558773,93.25232594,4,12,4,4,4,12,12
193,93,13,23,7.153846154,,42.19009899,124.9293757,5,5,5,4,5,5,5
194,25,14,21,1.621052632,,51.13591382,124.5115246,5,6,5,5,5,6,6
195,27,12,25,1.060740741,,-20.45852917,24.48815597,4,11,4,4,4,11,11
196,14,13,16,0.936086957,,89.3724456,156.4309028,5,6,5,5,5,6,6
197,30,10,11,1.748724753,,-50.87823251,-45.96032073,4,7,4,3,4,7,7
198,88,10,11,3.49037037,,-43.28902176,-139.8116306,3,11,3,3,3,11,11
199,57,19,19,4.384615385,,-20.18977462,-65.49337724,5,5,5,4,5,5,5
200,74,14,17,4.32177118,,32.46258273,-7.690397643,4,7,4,4,4,7,7
201,61,11,25,2.401481481,,26.44274597,23.54237017,4,11,4,4,4,11,11
202,88,14,25,6.769230769,,-28.79810175,-132.0486381,3,5,3,3,3,5,5
203,26,10,20,1.699159664,,-2.163108616,-64.49129407,5,6,5,5,5,6,6
204,69,10,14,4.051954695,,16.75661859,107.1373814,4,7,4,5,5,7,7
205,17,20,18,0.68,,-79.50565423,146.8990499,3,11,3,3,3,11,11
206,87,17,15,3.45037037,,-71.97873968,127.6232051,3,11,3,3,3,11,11
207,81,13,13,6.230769231,,-15.42405604,-32.0540075,4,5,4,4,4,5,5
208,26,10,15,1.71,,69.21921869,62.95902418,5,6,5,5,5,6,6
209,100,18,21,4.742172567,,-52.66459084,-141.8822681,3,9,3,3,3,9,9
210,59,20,17,2.331851852,,34.38007233,-128.0212403,5,11,5,5,5,11,11
211,27,20,17,2.076923077,,85.37822481,-143.495896,5,5,5,5,5,5,5
212,32,19,14,2.461538462,,1.368580571,-147.713232,3,5,3,3,3,5,5
213,58,18,15,2.303703704,,-22.36824288,154.1555667,3,11,3,3,3,11,11
214,58,14,19,4.461538462,,42.07599947,-44.08788975,4,5,4,4,4,5,5
215,88,16,20,4.157422905,,-7.155664745,33.07450574,4,9,4,4,4,9,9
216,22,19,10,0.844444444,,-51.54271008,122.1123219,3,11,3,3,3,11,11
217,30,16,21,2.307692308,,55.07292114,-14.64291962,5,5,5,5,5,5,5
218,19,17,11,0.76,,0.178609901,161.7910522,3,11,3,3,3,11,11
219,50,13,19,1.971851852,,62.58554492,-135.0065709,5,11,5,5,5,11,11
220,26,12,15,2,,-32.22576174,104.2858339,3,5,3,3,3,5,5
221,45,17,12,3.461538462,,39.36697439,80.41670759,4,5,4,4,4,5,5
222,74,20,18,4.341981424,,58.15618508,-33.49674268,5,7,5,5,5,7,7
223,11,13,17,0.428148148,,-65.15206838,54.9384481,4,11,4,3,4,11,11
224,17,17,23,0.68,,-56.82186526,-172.5235403,3,11,3,3,3,11,11
225,22,16,17,0.88,,89.15281506,-161.1201303,5,11,5,5,5,11,11
226,27,13,15,1.08,,-45.36262232,109.1768532,3,11,3,3,3,11,11
227,56,17,13,4.307692308,,-2.165153615,13.49247071,4,5,4,4,4,5,5
228,73,20,12,3.448043382,,-68.00580782,-95.41082347,3,9,3,3,3,9,9
229,78,14,15,2.892068966,,-84.51754944,174.3110116,3,12,3,3,3,12,12
230,79,20,11,6.076923077,,-56.3897068,118.7101245,3,5,3,3,3,5,5
231,76,17,17,3.957275542,,-40.72019957,34.3566602,4,8,4,4,4,8,8
232,18,12,24,0.73962963,,-11.47603025,-12.22909779,5,11,5,4,5,11,11
233,26,13,23,2,,85.46047517,-67.54754029,5,5,5,5,5,5,5
234,28,17,24,1.12,,66.20154611,-104.831479,4,11,4,5,4,11,11
235,23,16,19,2.522366522,,65.28133216,-63.63906562,5,3,5,5,5,3,3
236,46,11,23,1.84,,76.8817066,-48.45319865,5,11,5,5,5,11,11
237,96,17,12,7.384615385,,66.22248591,136.339737,5,5,5,5,5,5,5
238,33,18,10,2.187345538,,-29.01319856,179.9030401,3,6,3,3,3,6,6
239,35,10,21,1.376296296,,61.43228599,20.40392712,4,11,4,4,4,11,11
240,13,16,24,0.828571429,,-61.26589826,179.5477015,3,6,3,3,3,6,6
241,81,20,20,3.211851852,,-48.00361435,-128.6844465,3,11,3,3,3,11,11
242,11,17,13,0.733333333,,-60.36498012,-123.1898645,3,6,3,3,3,6,6
243,25,18,24,1.625916454,,-42.55318293,-152.4560438,3,6,3,3,3,6,6
244,58,20,24,2.729047619,,-82.01999873,-107.4335553,4,9,4,3,4,9,9
245,68,15,14,5.230769231,,73.30092694,113.8127623,5,5,5,5,5,5,5
246,40,15,14,1.739130435,,87.46359975,-50.51239237,5,10,5,5,5,10,10
247,63,15,25,2.300689655,,7.758466155,-146.7000902,5,12,5,5,5,12,12
248,96,10,21,7.384615385,,64.67489656,-84.13128569,4,5,4,5,5,5,5
249,94,14,15,4.916538084,,13.97995344,51.62614805,4,8,4,4,4,8,8
250,22,11,10,0.88,,-33.28977453,-172.6404354,3,11,3,3,3,11,11
251,40,17,15,1.571851852,,82.68920209,-106.488848,5,11,5,5,5,11,11
252,82,17,12,3.008326948,,11.1557124,-12.85482137,4,12,4,4,4,12,12
253,23,15,10,1.769230769,,71.60131068,-34.94557764,4,5,4,4,4,5,5
254,27,10,10,1.620144928,,1.954504109,-20.28123023,4,7,4,5,5,7,6
255,89,14,25,6.846153846,,-84.29492979,116.1092484,3,5,3,3,3,5,5
256,64,11,18,3.761061157,,-11.84426405,52.8135085,4,7,4,4,4,7,7
257,57,11,14,4.384615385,,-7.292955751,-3.040334559,4,5,4,4,4,5,5
258,80,10,19,5.321671122,,-24.97247659,114.7478218,3,6,3,3,3,6,6
259,92,15,17,3.647407407,,71.07212388,-32.33161174,5,11,5,5,5,11,11
260,86,18,23,6.615384615,,-36.1774166,82.35563099,4,5,4,4,4,5,5
261,90,14,15,4.733765296,,46.30409697,118.2272945,5,8,5,5,5,8,8
262,72,20,25,2.859259259,,-73.32062711,-146.5690034,3,11,3,3,3,11,11
263,27,12,22,2.076923077,,-83.73480409,-17.67949495,3,5,3,3,3,5,5
264,62,14,12,2.48,,84.28389463,-53.16047201,5,11,5,5,5,11,11
265,50,20,19,3.846153846,,-62.03261204,71.72142834,4,5,4,4,4,5,5
266,80,15,20,4.725916966,,36.73909053,-21.48194086,5,7,5,4,5,7,7
267,69,16,16,5.307692308,,-58.06199805,1.762761434,4,5,4,4,4,5,5
268,19,10,25,0.76,,-68.67373373,-127.7922748,3,11,3,3,3,11,11
269,27,17,14,1.06962963,,-56.99053809,-48.70345665,4,11,4,4,4,11,11
270,66,18,12,4.372256729,,43.12750853,-128.8082617,5,6,5,5,5,6,5
271,85,12,13,3.218965517,,-62.95990836,123.5469819,3,12,3,3,3,12,12
272,46,12,10,3.538461538,,-76.17110002,48.70125901,4,5,4,3,4,5,5
273,12,11,21,1.226883117,,87.78180182,40.0844497,5,3,5,5,5,3,3
274,58,15,19,2.758683089,,-74.30501878,-17.20695005,4,9,4,3,4,9,9
275,15,20,20,2.134532135,,46.88199038,77.84052727,4,2,4,4,5,2,2
276,18,19,11,1.632698413,,-88.7164186,-38.92030699,3,4,3,3,3,4,4
277,17,11,11,0.662222222,,10.31312652,-16.53186708,5,11,5,4,5,11,11
278,59,16,18,2.36,,15.80440559,56.64532343,4,11,4,4,4,11,11
279,10,10,18,1.412698413,,-4.986853121,-158.2255282,3,2,3,3,3,2,2
280,62,18,18,4.769230769,,9.91642757,-112.6871792,5,5,5,5,5,5,5
281,39,17,16,1.840470742,,72.84416666,131.4260264,5,9,5,5,5,9,9
282,73,10,10,2.924814815,,-14.80896664,96.27246598,4,11,4,4,4,11,11
283,45,16,18,2.93803678,,-60.70160534,-137.4008343,3,6,3,3,3,6,6
284,40,16,25,3.076923077,,85.692104,-120.9223083,5,5,5,5,4,5,5
285,46,11,11,3.004424104,,20.91960994,-153.4503205,5,6,5,5,5,6,6
286,64,14,24,4.923076923,,37.06930329,85.17634743,4,5,4,4,4,5,5
287,96,17,24,3.84,,-8.547774134,23.77408561,4,11,4,4,4,11,11
288,69,19,25,3.591635034,,-32.05714951,-147.8666689,3,8,3,3,3,8,8
289,92,13,14,7.076923077,,54.72081466,28.44977749,5,5,4,5,5,5,5
290,40,17,13,2.645569166,,50.98236596,125.0421199,4,6,4,4,4,6,6
291,67,13,15,2.665185185,,0.992694421,98.51025749,4,11,4,4,4,11,11
292,88,11,15,4.181148459,,63.28928302,-166.3449673,5,9,5,5,5,9,9
293,12,20,22,1.698412698,,18.82359683,35.48737897,4,2,4,4,4,2,2
294,15,13,15,0.545338442,,-78.40913796,-143.6931512,3,12,3,3,3,11,12
295,77,12,11,5.923076923,,27.76251953,-95.66361294,5,5,5,5,5,5,5
296,66,11,23,2.602962963,,-74.7048092,-93.56665122,3,11,3,3,3,11,11
297,37,13,16,2.424285714,,37.96254204,38.75436693,4,6,4,4,4,6,6
298,29,20,15,1.16,,-24.88394808,145.9922471,3,11,3,3,3,11,11
299,94,16,16,7.230769231,,75.14796896,37.83401275,5,5,5,5,5,5,5
300,37,11,12,2.414340198,,30.55320408,24.91625994,4,6,4,4,4,6,6
301,61,19,14,2.408888889,,40.27884746,-156.8637952,5,11,5,5,5,11,11
302,43,19,13,2.836831208,,69.33726273,-150.3133362,5,6,5,5,5,6,6
303,95,15,11,4.502947907,,-44.19903547,-111.4487177,3,9,3,3,3,9,9
304,29,14,13,2.604617605,,-52.36178621,-86.69684169,3,4,3,3,3,4,4
305,47,19,25,1.872592593,,-77.04873378,124.8379678,3,11,3,3,3,11,11
306,62,11,14,4.769230769,,32.83211762,92.36977834,5,5,5,5,5,5,5
307,100,10,22,3.971851852,,-27.10006105,114.8876197,3,11,3,4,3,11,11
308,98,18,14,5.136035677,,-59.81292315,105.9512911,3,8,3,3,3,8,8
309,48,16,24,3.692307692,,-44.41853292,55.80021482,4,5,4,4,4,5,5
310,28,20,22,1.12,,87.6537344,-104.996112,5,11,5,5,5,11,11
311,46,17,12,3.538461538,,-50.65894592,-26.20110714,4,5,4,4,4,5,5
312,53,13,13,4.076923077,,-29.33901897,178.4030164,3,5,3,3,3,5,5
313,85,16,21,3.138148148,,-60.26161299,-57.05108095,5,12,5,4,5,12,12
314,32,12,13,2.075040543,,-58.35346431,128.454063,3,6,3,3,3,6,6
315,13,18,22,0.847058824,,1.561054144,-37.08794283,5,6,5,5,5,6,6
316,52,12,22,3.436220987,,50.65967527,113.681024,5,6,5,5,5,6,6
317,25,14,11,2.243867244,,70.91849645,5.504015236,5,4,5,5,5,4,4
318,97,15,11,3.330689655,,89.86104514,-93.45702534,5,13,5,5,5,13,13
319,14,18,12,1.935064935,,-31.48220601,-22.72346184,4,2,4,4,4,2,2
320,71,11,17,5.461538462,,-23.553613,-94.97350329,3,5,3,3,3,5,5
321,49,19,24,2.854487882,,58.83412599,-163.1793633,4,7,5,5,4,7,7
322,98,15,12,4.644307636,,-5.812160605,-170.7467066,3,9,3,3,3,9,9
323,12,20,18,0.48,,12.177655,90.77411395,4,11,4,4,4,11,11
324,14,12,14,1.216450216,,81.92760992,62.12606088,5,4,5,5,5,4,6
325,32,15,20,1.278518519,,63.01907335,-31.8013615,5,11,5,5,5,11,11
326,55,16,24,4.230769231,,-60.02877357,6.293288696,4,5,4,4,4,5,5
327,51,13,18,2.04,,-52.2712198,25.05531864,4,11,4,4,4,11,11
328,70,20,24,5.384615385,,49.22115868,70.83233048,4,5,4,4,4,5,5
329,83,12,15,3.917453416,,71.64160704,169.7229102,5,9,5,5,5,9,9
